category,condition,score,base_date,canonical_source
homeless_period,no_eligible_period,0,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,under_1_year,2,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,1_to_2_years,4,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,2_to_3_years,6,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,3_to_4_years,8,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,4_to_5_years,10,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,5_to_6_years,12,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,6_to_7_years,14,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,7_to_8_years,16,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,8_to_9_years,18,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,9_to_10_years,20,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,10_to_11_years,22,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,11_to_12_years,24,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,12_to_13_years,26,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,13_to_14_years,28,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,14_to_15_years,30,2026-09-18,https://apttosell.com/cheongyak-score-data/
homeless_period,15_years_or_more,32,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,0,5,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,1,10,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,2,15,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,3,20,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,4,25,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,5,30,2026-09-18,https://apttosell.com/cheongyak-score-data/
dependents,6_or_more,35,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,under_6_months,1,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,6_months_to_1_year,2,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,1_to_2_years,3,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,2_to_3_years,4,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,3_to_4_years,5,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,4_to_5_years,6,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,5_to_6_years,7,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,6_to_7_years,8,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,7_to_8_years,9,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,8_to_9_years,10,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,9_to_10_years,11,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,10_to_11_years,12,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,11_to_12_years,13,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,12_to_13_years,14,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,13_to_14_years,15,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,14_to_15_years,16,2026-09-18,https://apttosell.com/cheongyak-score-data/
subscription_account_period,15_years_or_more,17,2026-09-18,https://apttosell.com/cheongyak-score-data/
